"","Start","Stop","Number_of_Tweets"
"1",2019-07-27 00:00:00,2019-07-27 02:00:00,70
"2",2019-07-27 02:00:00,2019-07-27 04:00:00,50
"3",2019-07-27 04:00:00,2019-07-27 06:00:00,51
"4",2019-07-27 06:00:00,2019-07-27 08:00:00,50
"5",2019-07-27 08:00:00,2019-07-27 10:00:00,22
"6",2019-07-27 10:00:00,2019-07-27 12:00:00,13
"7",2019-07-27 12:00:00,2019-07-27 14:00:00,20
"8",2019-07-27 14:00:00,2019-07-27 16:00:00,39
"9",2019-07-27 16:00:00,2019-07-27 18:00:00,74
"10",2019-07-27 18:00:00,2019-07-27 20:00:00,98
"11",2019-07-27 20:00:00,2019-07-27 22:00:00,79
"12",2019-07-27 22:00:00,2019-07-28 00:00:00,62
"13",2019-07-28 00:00:00,2019-07-28 02:00:00,75
"14",2019-07-28 02:00:00,2019-07-28 04:00:00,68
"15",2019-07-28 04:00:00,2019-07-28 06:00:00,76
"16",2019-07-28 06:00:00,2019-07-28 08:00:00,50
"17",2019-07-28 08:00:00,2019-07-28 10:00:00,19
"18",2019-07-28 10:00:00,2019-07-28 12:00:00,9
"19",2019-07-28 12:00:00,2019-07-28 14:00:00,21
"20",2019-07-28 14:00:00,2019-07-28 16:00:00,47
"21",2019-07-28 16:00:00,2019-07-28 18:00:00,76
"22",2019-07-28 18:00:00,2019-07-28 20:00:00,99
"23",2019-07-28 20:00:00,2019-07-28 22:00:00,66
"24",2019-07-28 22:00:00,2019-07-29 00:00:00,75
"25",2019-07-29 00:00:00,2019-07-29 02:00:00,246
"26",2019-07-29 02:00:00,2019-07-29 04:00:00,6540
"27",2019-07-29 04:00:00,2019-07-29 06:00:00,4910
"28",2019-07-29 06:00:00,2019-07-29 08:00:00,1466
"29",2019-07-29 08:00:00,2019-07-29 10:00:00,385
"30",2019-07-29 10:00:00,2019-07-29 12:00:00,350
"31",2019-07-29 12:00:00,2019-07-29 14:00:00,388
"32",2019-07-29 14:00:00,2019-07-29 16:00:00,496
"33",2019-07-29 16:00:00,2019-07-29 18:00:00,447
"34",2019-07-29 18:00:00,2019-07-29 20:00:00,346
"35",2019-07-29 20:00:00,2019-07-29 22:00:00,267
"36",2019-07-29 22:00:00,2019-07-30 00:00:00,209
