"","Start","Stop","Number_of_Tweets"
"1",2019-05-29 09:31:25,2019-05-29 10:31:25,36
"2",2019-05-29 10:31:25,2019-05-29 11:31:25,41
"3",2019-05-29 11:31:25,2019-05-29 12:31:25,44
"4",2019-05-29 12:31:25,2019-05-29 13:31:25,39
"5",2019-05-29 13:31:25,2019-05-29 14:31:25,56
"6",2019-05-29 14:31:25,2019-05-29 15:31:25,76
"7",2019-05-29 15:31:25,2019-05-29 16:31:25,82
"8",2019-05-29 16:31:25,2019-05-29 17:31:25,63
"9",2019-05-29 17:31:25,2019-05-29 18:31:25,54
"10",2019-05-29 18:31:25,2019-05-29 19:31:25,91
"11",2019-05-29 19:31:25,2019-05-29 20:31:25,92
"12",2019-05-29 20:31:25,2019-05-29 21:31:25,59
"13",2019-05-29 21:31:25,2019-05-29 22:31:25,57
"14",2019-05-29 22:31:25,2019-05-29 23:31:25,75
"15",2019-05-29 23:31:25,2019-05-30 00:31:25,84
"16",2019-05-30 00:31:25,2019-05-30 01:31:25,96
"17",2019-05-30 01:31:25,2019-05-30 02:31:25,93
"18",2019-05-30 02:31:25,2019-05-30 03:31:25,81
"19",2019-05-30 03:31:25,2019-05-30 04:31:25,56
"20",2019-05-30 04:31:25,2019-05-30 05:31:25,24
"21",2019-05-30 05:31:25,2019-05-30 06:31:25,22
"22",2019-05-30 06:31:25,2019-05-30 07:31:25,3
"23",2019-05-30 07:31:25,2019-05-30 08:31:25,12
"24",2019-05-30 08:31:25,2019-05-30 09:31:25,5
"25",2019-05-30 09:31:25,2019-05-30 10:31:25,27
"26",2019-05-30 10:31:25,2019-05-30 11:31:25,41
"27",2019-05-30 11:31:25,2019-05-30 12:31:25,59
"28",2019-05-30 12:31:25,2019-05-30 13:31:25,49
"29",2019-05-30 13:31:25,2019-05-30 14:31:25,69
"30",2019-05-30 14:31:25,2019-05-30 15:31:25,54
"31",2019-05-30 15:31:25,2019-05-30 16:31:25,84
"32",2019-05-30 16:31:25,2019-05-30 17:31:25,78
"33",2019-05-30 17:31:25,2019-05-30 18:31:25,62
"34",2019-05-30 18:31:25,2019-05-30 19:31:25,74
"35",2019-05-30 19:31:25,2019-05-30 20:31:25,87
"36",2019-05-30 20:31:25,2019-05-30 21:31:25,67
"37",2019-05-30 21:31:25,2019-05-30 22:31:25,64
"38",2019-05-30 22:31:25,2019-05-30 23:31:25,75
"39",2019-05-30 23:31:25,2019-05-31 00:31:25,86
"40",2019-05-31 00:31:25,2019-05-31 01:31:25,110
"41",2019-05-31 01:31:25,2019-05-31 02:31:25,108
"42",2019-05-31 02:31:25,2019-05-31 03:31:25,92
"43",2019-05-31 03:31:25,2019-05-31 04:31:25,93
"44",2019-05-31 04:31:25,2019-05-31 05:31:25,32
"45",2019-05-31 05:31:25,2019-05-31 06:31:25,13
"46",2019-05-31 06:31:25,2019-05-31 07:31:25,12
"47",2019-05-31 07:31:25,2019-05-31 08:31:25,6
"48",2019-05-31 08:31:25,2019-05-31 09:31:25,6
"49",2019-05-31 09:31:25,2019-05-31 10:31:25,24
"50",2019-05-31 10:31:25,2019-05-31 11:31:25,43
"51",2019-05-31 11:31:25,2019-05-31 12:31:25,38
"52",2019-05-31 12:31:25,2019-05-31 13:31:25,59
"53",2019-05-31 13:31:25,2019-05-31 14:31:25,75
"54",2019-05-31 14:31:25,2019-05-31 15:31:25,88
"55",2019-05-31 15:31:25,2019-05-31 16:31:25,94
"56",2019-05-31 16:31:25,2019-05-31 17:31:25,88
"57",2019-05-31 17:31:25,2019-05-31 18:31:25,91
"58",2019-05-31 18:31:25,2019-05-31 19:31:25,67
"59",2019-05-31 19:31:25,2019-05-31 20:31:25,74
"60",2019-05-31 20:31:25,2019-05-31 21:31:25,98
"61",2019-05-31 21:31:25,2019-05-31 22:31:25,114
"62",2019-05-31 22:31:25,2019-05-31 23:31:25,178
"63",2019-05-31 23:31:25,2019-06-01 00:31:25,145
"64",2019-06-01 00:31:25,2019-06-01 01:31:25,144
"65",2019-06-01 01:31:25,2019-06-01 02:31:25,173
"66",2019-06-01 02:31:25,2019-06-01 03:31:25,115
"67",2019-06-01 03:31:25,2019-06-01 04:31:25,73
"68",2019-06-01 04:31:25,2019-06-01 05:31:25,69
"69",2019-06-01 05:31:25,2019-06-01 06:31:25,30
"70",2019-06-01 06:31:25,2019-06-01 07:31:25,35
"71",2019-06-01 07:31:25,2019-06-01 08:31:25,29
"72",2019-06-01 08:31:25,2019-06-01 09:31:25,9
"73",2019-06-01 09:31:25,2019-06-01 10:31:25,33
"74",2019-06-01 10:31:25,2019-06-01 11:31:25,59
"75",2019-06-01 11:31:25,2019-06-01 12:31:25,86
"76",2019-06-01 12:31:25,2019-06-01 13:31:25,130
"77",2019-06-01 13:31:25,2019-06-01 14:31:25,101
"78",2019-06-01 14:31:25,2019-06-01 15:31:25,107
"79",2019-06-01 15:31:25,2019-06-01 16:31:25,65
"80",2019-06-01 16:31:25,2019-06-01 17:31:25,70
"81",2019-06-01 17:31:25,2019-06-01 18:31:25,104
"82",2019-06-01 18:31:25,2019-06-01 19:31:25,95
"83",2019-06-01 19:31:25,2019-06-01 20:31:25,76
"84",2019-06-01 20:31:25,2019-06-01 21:31:25,101
"85",2019-06-01 21:31:25,2019-06-01 22:31:25,69
"86",2019-06-01 22:31:25,2019-06-02 00:00:00,135
